,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,year,release_date,track_id
0,0.62,0.881,-5.851,0.0372,0.714,0.311,0.415,126.035,,,
1,0.577,0.741,-3.83,0.0501,0.0,0.142,0.581,128.081,,,
2,0.515,0.837,-2.552,0.0401,0.0,0.0403,0.52,126.026,,,
3,0.586,0.727,-4.799,0.039,0.0107,0.152,0.496,124.99,,,
4,0.51,0.79,-3.74,0.036,0.000148,0.317,0.634,127.951,,,
5,0.545,0.78,-4.867,0.0436,4.64e-05,0.0828,0.458,125.014,,,
6,0.532,0.783,-5.697,0.0523,0.0012,0.161,0.643,124.08,,,
7,0.623,0.93,-5.285,0.0324,1.64e-06,0.138,0.287,120.119,,,
8,0.496,0.863,-4.153,0.0381,0.0,0.639,0.243,110.018,,,
9,0.94,0.743,-5.166,0.0475,0.0,0.0909,0.932,118.988,,,
10,0.801,0.454,-6.035,0.0371,0.0,0.226,0.34,125.139,,,
11,0.634,0.526,-7.881,0.0333,0.0,0.257,0.623,90.087,,,
12,0.679,0.487,-5.811,0.0352,3.36e-05,0.0772,0.506,81.994,,,
13,0.414,0.419,-6.431,0.0388,0.000195,0.11,0.18,84.082,,,
14,0.772,0.65,-5.202,0.0306,1.13e-06,0.0905,0.262,125.083,,,
15,0.734,0.766,-4.485,0.0383,0.00138,0.108,0.6,127.986,,,
16,0.735,0.826,-4.902,0.0349,0.129,0.197,0.74,132.964,,,
17,0.835,0.669,-5.582,0.0643,6.92e-05,0.0535,0.542,122.668,,,
18,0.563,0.75,-4.496,0.127,0.0,0.0788,0.812,173.906,,,
19,0.48,0.486,-5.754,0.0447,0.0,0.107,0.265,80.051,,,
20,0.733,0.673,-6.572,0.0333,0.0049,0.16,0.636,125.061,,,
21,0.612,0.84,-3.145,0.0509,0.0,0.116,0.438,129.042,,,
22,0.507,0.665,-7.598,0.0474,0.0,0.0759,0.4,126.879,,,
23,0.434,0.962,-2.89,0.126,0.734,0.105,0.226,128.162,,,
24,0.507,0.951,-3.71,0.0654,0.478,0.417,0.0628,140.077,,,
25,0.536,0.821,-5.353,0.0897,0.00443,0.619,0.36,127.991,,,
26,0.817,0.716,-8.898,0.144,0.00263,0.358,0.692,123.474,,,
27,0.794,0.811,-8.966,0.038,1.07e-06,0.101,0.862,116.047,,,
28,0.812,0.516,-6.963,0.224,1.09e-05,0.0991,0.633,127.498,,,
29,0.68,0.594,-7.021,0.28,2.35e-06,0.134,0.475,186.04,,,
30,0.633,0.673,-6.403,0.258,0.0,0.206,0.659,86.776,,,
31,0.688,0.853,-5.814,0.0493,0.0,0.0862,0.743,103.993,,,
32,0.637,0.843,-5.413,0.0432,0.0,0.0876,0.434,109.012,,,
33,0.738,0.804,-3.851,0.0621,0.0,0.279,0.949,174.943,,,
34,0.874,0.692,-5.28,0.0431,7.24e-05,0.324,0.937,116.017,,,
35,0.856,0.609,-7.223,0.0824,8.15e-05,0.0344,0.928,114.988,,,
36,0.726,0.698,-4.165,0.0431,0.0,0.309,0.867,143.994,,,
37,0.682,0.93,-4.036,0.0846,0.0123,0.0481,0.46,127.867,,,
38,0.773,0.813,-4.609,0.0797,3.77e-05,0.192,0.707,127.93,,,
39,0.546,0.916,-3.932,0.255,4.34e-06,0.251,0.375,129.983,,,
40,0.606,0.612,-3.676,0.028,3.7e-06,0.128,0.477,127.882,,,
41,0.686,0.457,-8.322,0.0468,0.0,0.105,0.718,150.953,,,
42,0.451,0.97,-4.938,0.107,0.00355,0.102,0.198,122.444,,,
43,0.427,0.9,-3.674,0.0499,1.75e-05,0.119,0.599,104.655,,,
44,0.618,0.938,-3.442,0.0456,0.0,0.167,0.875,91.455,,,
45,0.685,0.971,-3.153,0.0362,7.04e-06,0.0689,0.899,111.926,,,
46,0.568,0.837,-6.138,0.0266,0.0587,0.0994,0.853,104.988,,,
47,0.72,0.763,-4.068,0.0523,0.0,0.18,0.742,101.965,,,
48,0.692,0.582,-5.799,0.163,0.0,0.269,0.735,92.969,,,
49,0.73,0.807,-6.475,0.114,0.718,0.28,0.727,114.715,,,
50,0.653,0.604,-6.017,0.0278,0.0,0.097,0.101,118.016,,,
51,0.978,0.687,-4.957,0.0646,0.00708,0.107,0.784,110.616,,,
52,0.895,0.795,-4.693,0.0977,0.0,0.0403,0.574,105.004,,,
53,0.799,0.586,-6.735,0.0377,2.03e-06,0.193,0.549,120.97,,,
54,0.556,0.881,-2.224,0.082,0.0,0.0709,0.337,104.973,,,
55,0.499,0.969,-1.074,0.0649,0.000681,0.0832,0.526,174.019,,,
56,0.429,0.948,-3.657,0.227,0.0148,0.0812,0.55,115.785,,,
57,0.816,0.5,-4.551,0.03,1.53e-06,0.0733,0.649,124.037,,,
58,0.405,0.589,-7.51,0.0586,0.0,0.661,0.808,83.373,,,
59,0.712,0.698,-3.473,0.102,0.0,0.113,0.765,89.985,,,
60,0.662,0.693,-4.298,0.0698,0.0,0.145,0.655,86.009,,,
61,0.745,0.64,-5.494,0.0526,5.1e-05,0.112,0.612,86.981,,,
62,0.845,0.768,-5.448,0.188,5.04e-06,0.0575,0.96,100.0,,,
63,0.743,0.767,-2.944,0.168,0.0,0.0421,0.82,170.539,,,
64,0.564,0.6,-6.814,0.0305,2.19e-06,0.38,0.442,78.955,,,
65,0.57,0.717,-4.914,0.029,0.0,0.0833,0.321,111.91,,,
66,0.648,0.759,-4.315,0.306,0.0,0.648,0.518,85.996,,,
67,0.599,0.785,-4.013,0.0309,0.00336,0.151,0.52,140.046,,,
68,0.651,0.663,-5.569,0.0281,0.0,0.0994,0.465,102.0,,,
69,0.646,0.795,-3.293,0.0976,0.0,0.267,0.796,89.99,,,
70,0.509,0.671,-5.709,0.0678,0.0,0.0452,0.55,118.413,,,
71,0.746,0.754,-6.684,0.0676,0.0,0.0486,0.746,149.882,,,
72,0.716,0.821,-3.435,0.0314,0.0,0.0844,0.618,92.997,,,
73,0.664,0.705,-4.972,0.0382,0.0,0.118,0.477,122.016,,,
74,0.829,0.51,-9.334,0.0369,0.0014,0.0829,0.45,119.993,,,
75,0.64,0.635,-7.565,0.226,0.0,0.319,0.475,100.034,,,
76,0.644,0.57,-6.994,0.052,0.0,0.299,0.527,113.945,,,
77,0.589,0.651,-5.097,0.0306,3.2e-06,0.111,0.166,90.011,,,
78,0.778,0.555,-7.058,0.0308,0.000196,0.0693,0.491,117.957,,,
79,0.705,0.769,-5.526,0.0425,0.0,0.105,0.583,107.949,,,
80,0.585,0.564,-7.063,0.0515,0.0,0.135,0.137,113.003,,,
81,0.782,0.685,-6.237,0.0309,1.18e-05,0.16,0.603,118.016,,,
82,0.838,0.72,-4.135,0.0483,0.00696,0.0772,0.203,122.993,,,
83,0.729,0.675,-6.003,0.0312,1.58e-06,0.55,0.779,119.968,,,
84,0.414,0.857,-4.078,0.0808,0.00574,0.343,0.348,128.024,,,
85,0.641,0.922,-4.457,0.0786,0.0,0.0862,0.847,146.078,,,
86,0.596,0.856,-3.556,0.0346,0.0178,0.141,0.743,127.949,,,
87,0.773,0.758,-4.993,0.0381,0.0,0.305,0.925,144.033,,,
88,0.399,0.787,-2.88,0.0499,6.07e-05,0.0685,0.572,117.089,,,
