,artist,album,track_name
0,Avicii,Levels,Levels - Radio Edit
1,Avicii,Stories,Waiting For Love
2,Tim Berg,Seek Bromance,Seek Bromance - Avicii Vocal Edit
3,Avicii,True,You Make Me
4,Avicii,I Could Be The One [Avicii vs Nicky Romero],I Could Be The One [Avicii vs Nicky Romero] - Nicktim - Radio Edit
5,Avicii,True,Hey Brother
6,Avicii,True,Wake Me Up - Radio Edit
7,Linkin Park,Minutes to Midnight,What I've Done
8,Linkin Park,Meteora (Bonus Edition),Numb
9,Akon,Konvicted,Smack That
10,Akon,Konvicted,Don't Matter
11,Akon,Trouble Deluxe Edition,Lonely
12,Sam Smith,In The Lonely Hour,I'm Not The Only One
13,Sam Smith,In The Lonely Hour,Stay With Me
14,Naughty Boy,Hotel Cabana (Deluxe Version),La La La
15,Rihanna,Talk That Talk (Deluxe),We Found Love
16,Rihanna,Good Girl Gone Bad: Reloaded,Shut Up And Drive
17,Rihanna,Good Girl Gone Bad: Reloaded,Don't Stop The Music
18,Rihanna,Rated R,Rude Boy
19,Rihanna,Rated R,Russian Roulette
20,Swedish House Mafia,One (Your Name),One (Your Name) - Radio Edit
21,Swedish House Mafia,Don't You Worry Child,Don't You Worry Child - Radio Edit
22,Swedish House Mafia,Save The World,Save The World
23,Knife Party,Rage Valley,Rage Valley
24,Knife Party,Rage Valley,Centipede
25,deadmau5,Ghosts 'n' Stuff (feat. Rob Swire) (feat. Rob Swire),Ghosts 'n' Stuff (feat. Rob Swire) - Radio Edit
26,Daft Punk,Discovery,"Harder, Better, Faster, Stronger"
27,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit
28,Daft Punk,Human After All,Technologic
29,The Weeknd,Starboy,Starboy
30,Travie McCoy,Billionaire (feat. Bruno Mars),Billionaire (feat. Bruno Mars)
31,B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Nothin' on You (feat. Bruno Mars)
32,Bruno Mars,Doo-Wops & Hooligans,Just the Way You Are
33,Bruno Mars,Doo-Wops & Hooligans,The Lazy Song
34,Bruno Mars,Unorthodox Jukebox,Treasure
35,Mark Ronson,Uptown Special,Uptown Funk (feat. Bruno Mars)
36,Bruno Mars,Unorthodox Jukebox,Locked out of Heaven
37,David Guetta,Guetta Blaster,The World Is Mine
38,David Guetta,Pop Life,Love Is Gone - Fred Riester & Joachim Garraud Radio Edit Remix
39,David Guetta,One More Love,Memories (feat. Kid Cudi)
40,David Guetta,Nothing But The Beat,Without You - feat. Usher
41,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours
42,Red Hot Chili Peppers,By the Way (Deluxe Edition),By the Way
43,Red Hot Chili Peppers,Stadium Arcadium,Snow (Hey Oh)
44,Red Hot Chili Peppers,By the Way (Deluxe Edition),Can't Stop
45,Red Hot Chili Peppers,Stadium Arcadium,Hump de Bump
46,Depeche Mode,Playing the Angel,Precious
47,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie)
48,Jay Sean,All Or Nothing,Ride It
49,Timbaland,Shock Value Deluxe Version (International Version),The Way I Are
50,Timbaland,Shock Value,Apologize
51,Timbaland,Shock Value Deluxe Version (International Version),Give It To Me
52,Usher,Yeah!,Yeah!
53,Clean Bandit,Rather Be (feat. Jess Glynne),Rather Be (feat. Jess Glynne)
54,Skrillex,Make It Bun Dem,Make It Bun Dem
55,Zomboy,The Dead Symphonic EP,Nuclear (Hands Up)
56,Skrillex,More Monsters and Sprites EP,First of the Year (Equinox)
